ticket_id,channel,subject,body,queue
T-90202,webform,Tracking question,"Hi, You split my order into two shipments and only one has any tracking movement. Appreciate it.",shipping
T-90203,email,Delivery problem,"Hi, I paid $89.50 extra for two day shipping and it has been two weeks. I contacted you a few days ago about this and never heard back. Appreciate it. — Dana Kim",shipping
T-90204,webform,Support request,"Good morning, Please delete my account and all my personal data. Order number is NW-69950 if that helps. Thank you.",account-access
T-90205,email,Account security concern,"Good morning, I cannot log in to my account - it keeps saying my password is wrong even after I reset it. This is for an upcoming canoe trip. Thanks in advance.",account-access
T-90206,chat,Support request,only half of order NW-41508 showed up - the Anchor bear canister is missing from the box,shipping
T-90207,email,Support request,"Hey, DHL tracking shows my package has been sitting in a sort facility for over two weeks. I tried calling but the wait time was over 45 minutes. Thank you.",shipping
T-90208,webform,Late order,"Hi, The tracking page says delivered but there is no package anywhere at my address. The package was a gift for my partner.",shipping
T-90209,webform,Invoice request,You refunded the item but not the original shipping cost on order NW-42016. This is for an upcoming camping trip. Appreciate it.,billing
T-90210,email,Billing question,"Good morning, My gift card balance shows $35.00 but checkout would not let me use it. I placed the order about ten days ago. Thanks in advance. — Reese Kim",billing
T-90211,email,Login trouble,"Hey, I keep getting logged out eevry time the appu pdates. I have been a customer for a long time and this is the first problem I have had. Appreciate it. — Taylor Kaur",account-access
T-90212,email,Urgent,"Hi there, My order NW-68246 was placed four days ago and the tracking still says label created. the password reset email never arrives - i have checked spam several times. I have been a customer for three seasons and this is the first problem I have had. — Casey Larsen",shipping
T-90213,email,Order not deelivered,"Hi, Customs is asking me to pay $35.99 in import fees for order NW-59021 - was that supposed to happen. Hope you can help.",shipping
T-90214,chat,Problem with my order,My order NW-51108 was placed a week ago and the tracking still says label created. I need this sorted before Friday?,shipping
T-90215,email,Help,"Good morning, The tracking page says delivered but there is no package anywhere at my address. I need this sorted before the end of the month. Thanks.",shipping
T-90216,email,Help,"Hi there, The verification link in the signup email says it has expired. I contacted you a few days ago about this and never hear back. Pleas eadvise.",account-access
T-90217,webform,Problem with my order,Can you hold the shipment at a DHL pickup point instead of delivering to my door. i cancelled order nw-43875 an hour after placing it but the charge of $24.00 still went through. The order had the Torrent rain pants and some smaller items in it.,shipping
T-90218,email,Where is my order,"Good morning, I need the Torrent rain pants before Friday - can you expedite shipping. I tried calling but the wait time was over 20 minutes. Appreciate it. — Taylor Kim",shipping
T-90219,webform,Urgent,"Hello, I was charged sales tax on order NW-41500 but my state does not tax clothing. i cannot log in to my account - it keeps saying my password is wrong even after i reset it. my order history disappeared after i merged my old account with my new email. Order number is NW-54270 if that helps. Thanks in advance.",billing
T-90220,email,Support request,"Hello, My refund was approved but the replacement Ridgeline 2P tent still has no tracking number. I tried calling but the wait time was over 45 minutes. Please advise.",shipping
T-90221,email,Charge I do not recognize,"Hi, My account shows an order Ia lready cancelled and the charge is still pending on my card. The order had the Trailhead hiking boots and some smaller items in i.t Please advise. — Reese baur",billing
T-90222,chat,Need assistance,i changed phones and can no longer get the two factor authentication code.,account-access
T-90223,email,Problm with my order,"Hey, My package arrived with the box torn open and the Torrent rain jacket inside looks damaged. This is for an upcoming camping trip. Thanks. — Dana Chen",shipping
T-90224,email,Double charged,"Hi there, The price of the Merino trail socks dropped to $89.50 the day after II bught it - do you do price adjustments.",billing
T-90225,chat,Qestion,If I refuse the package at delivery do I still have tc pay return shipping. I have been a customer for years and this is the first problem I have had,shipping
T-90226,email,Where is my order,"Hi there, Where is my order? The Anchor bear canister was supposed to arrive last Friday. I tried calling but the wait time was over 45 minutes. Hope you can help. — Taylor Ortiz",shipping
T-90227,email,Payment issue,"Hello, My return was received two weeks ago but the refund of $79.00 still is not back on my card. Thands in advance.",billing
T-90228,webform,Change my email,"Hi there, My order history disappeared after I merged my old account with my new email. i returned the lumen 800 headlamp and the refund i got was $79.95 short of what i paid. I placed the order on the 3rd. Thanks in advance.",account-access
T-90229,chat,,?????,shipping
T-90230,webform,Membership billing,"Hi there, Please cancel my Trail Club membership - I am still being billed $12.99 a month. you splott my order into two shipments and only one has any tracking movement. Thanks in advance.",billing
T-90231,chat,Urgent,i paid $249.95 extra for two day shipping and it has been three days. I conacted you a few days ago about this and never heard back??,shipping
T-90232,chat,Help,I was charged sales tax on order NW-59636 but my state does not tax clothing. I already looked through the help center and could not find an answer.,billing
T-90233,webform,Urgent,"Hello, The passord reset emlai never arrives - I have checked spam twice.",account-access
T-90234,chat,Payment issue,My account shows an order I already cancelled and the charge is still pending on my card. The package was a gift for a friend?,billing
T-90235,chat,Need assistance,I cannot open the tracking link for my order without signing in and the sign in page just loops. I paid with the card ending 1554.,account-access
T-90236,chat,Urgent,The promo code BASECAP10 did not apply at checkout and I wassc harged full price. The order had the Ember camp sotve and some smaller items in it??,billing
T-90237,webform,Support request,"Hi there, My return was received five days ago but the refund of $214.95 still is not back on my card. The order had the Halo climbing helmet and some smaller items in it. Appreciate it.",billing
T-90238,chat,Problem with my order,Youc harged the wong caard - th eorder should have gone on the card ending 8122. I need this sorted before Friday?,billing
T-90239,email,Help,The promo code BASECAMP10 did not apply at checkout and I was charged full price. Thanks in advance. — Taylor Larsen,billing
T-90240,email,Help,"Hello, My gift card balance shows $129.00 but checkout would not let me use it. I already looked through the help center and could not find an answer.",billing
T-90241,email,Order not delivered,Where is my order? The Puffin down vest was supposed to arrve two days ago. I already looked through the help center and could not find an answer. Please advise. — AAvry Ortiz,shipping
T-90242,webform,Urgent,"Hello Northwind, Can you hold the lhipment at a DHL pckup point instead of delivering to my door. The pckage was a gift for a friend. Thanks in advance.",shipping
T-90243,email,Problem with my order,"Hi there, My order history disappeared ater I merged myo ld accunt with my new email. TThis is for an upcoming camping trip. Thank you.",account-access
T-90244,email,Login trouble,"Hey, How do I change the email address on my account - I no longer have access to the old one. I paid with the card ending 6595. Hope you can help. — Alex Patel",account-access
T-90245,webform,Urgent,"Hello, My account seems to be locked after too many login attempts. I need this sorted before Friday. Appreciate it.",account-access
T-90246,chat,Order status,You split my order into two shipments and only one has any tracking movement. I contacted you last week about this and never heard back?,shipping
T-90247,webform,Help,"Good morning, The price of the Lumen 800 headlamp dropped to $35.00 the day after I bought it - do you do price adjustments. The package was a gift for my son. Please advise.",billing
T-90248,email,Help,I need the Glacier 45 cooler before my trip on the 14th - can you expedite shipping. i changed phones and can no longer get the two factor authentication code. I paid with the card ending 5248. Thank you.,shipping
T-90249,chat,Order not delivered,the invoice in the box lists a Cirrus trekking poles that is not what I was charged for online - which one is actually shipping to me. The order had the Voltpack 20K power bank and some smaller items in it?,shipping
T-90250,email,Billing question,"Hello Northwind, You charged the wrong card - the order should have gone on the card ending 3695. Appreciate it.",billing
T-90251,email,Order not delivered,"Hi, The estimated delivery on my order keeps moving - it has changed three times this week. I placed the order on the 3rd. Please advise.",shipping
T-90252,chat,Support request,The tracking says my order was delivered but I was charged for shipping insurance I never added. the password reset email never arrives - i have checked spam several times?,billing
T-90253,email,Order status,"Hi there, My refund was approved but the replacement Merino trail socks still has no tracking number. I placed the order about ten days ago. Appreciate it. — Dana Patel",shipping
T-90254,email,Refund not received,"Hello, I was charged sales tax on order NW-52497 but my state does not tax clothing. I tried calling but the wait time was over 30 minutes. Thanks in advance. — Jamie Ortiz",billing
T-90255,email,Help,My account seems to be locked after too many login attempts. can you hold the shipment at a fedex pickup point instead of delivering to my door. I need this sorted before Friday. Thanks.,account-access
T-90256,email,Need assistance,"Hey, Can you hold the shipment at a UPS pickup point instead of delivering to my door. This is for an upcoming canoe trip. Thank you.",shipping
T-90257,chat,Double charged,The tracking says my order was delivered but I was charged for shipping insurance I never added. I paid with the card ending 6350?,billing
T-90258,chat,Late order,customs is asking me to pay $118.95 in import fees for order NW-77581 - was that supposed to happen. The order had the Windbreak fleece and some smaller items in it??,shipping
T-90259,webform,Account locked,"Good morning ,How do I change the email address on my account - I no longer have access to the old one. I have been a customer for three seasonsa nd this is the first problem I have had. Thanks.",account-access
T-90260,chat,Tracking question,Can you hold the shipment at a DHL pickup point instead of delivering to my door. The order had the Dayhike 22 backpack and some smaller items in it??,shipping
T-90261,email,Support request,"Good morning, The tracking says my order was delivered but I was charged for shipping insurance I never added. Thanks in advance. — Skyler Haddad",billing
T-90262,webform,Order status,"Hello Northwind, I paid $35.95 extra for two day shipping and it has been three days. This is for an upcoming backpacking trip.",shipping
T-90263,email,Urgent,"Hi there, You split my order into two shipments and only one has any tracking movement. The package was a gift for my daughter. Thanks in advance. — Quinn Ortiz",shipping
T-90264,email,Help,Can I change the delivery address on order NW-59968 before it ships. there is a charge from northwind on my statement for $19.50 that i do not recognize. Appreciate it. — Skyler Garcia,shipping
T-90265,email,Poblem with my order,"Hi there, Where is my order? The Drifter 10 kayak was supposed to arrive yesterday. my account seems to be locked after too many login attempts. This is for an upcoming family trip. Appreciate it. — Taylor Garcia",shipping
T-90266,chat,Support request,i keep getting logged out every time the app updates. This is for an upcoming thru-hike??,account-access
T-90267,email,Urgent,"Good moning,M y package arrived with the box crushed and the Drifter paddle inside looks damaged. I have been a customer for years and this is the first problem I have had. Thank you. — Dana Kaur",shipping
T-90268,email,Shipping delay,"Hey, USPS tracking shows my package has been sitting in customs for two weeks. i cancelled order nw-62151 minutes after placing it but the charge of $118.00 still went through. you refunded the item but not the original shipping cost on order nw-48399. I tried calling but the wait time was over 20 minutes. Thanks in advance. — Skyler Larsen",shipping
T-90269,email,Problem with my order,"Hello, There is a charge from Northwind on my statement for $24.50 that I do not recognize. Hope ou can nelp.",billing
T-90270,chat,Charge I do not recognize,you chargbd hte wrnog card - the order should have gone on the card ending 3155??,billing
T-90271,chat,Where is my order,you split my order into two shipments and only one has any tracking movement. Order number is NW-60399 if that helps?,shipping
T-90272,email,Quesstion,Only half of order NW-76551 showed up - the Merino trail socks is missing from the box. Appreciate it. — Skyler Kaur,shipping
T-90273,email,Change my email,"Hello Northwind, How do I change the email address on my account - I no longer have access to the old one. I need this sorted before the end of the month. Thanks in advance. — Casey Patel",account-access
T-90274,chat,Payment issue,I was charged twice for order NW-62217 - there are two $58.99 charges on my card. This is for an upcoming backpacking trip,billing
T-90275,email,Refund not received,"Hello Northwind, I cancelled order NW-46815 minutes after placing it but the charge of $214.00 still went through. I contacted you last week about this and never heard back. Thanks. — Reese Chen",billing
T-90276,webform,Problem with my order,"Good morning, My order NW-60112 was placed a week ago and the tracking still says label created. The order had the Firefly bug net and some smaller items in iti .Hope you can help.",shipping
T-90277,webform,Shipping delay,"Hi there, My package arrived with the box crushed and the Drifter paddle inside looks okay. i was charged twice for order nw-53403 - there are two $35.00 charges on my card. Thanks.",shipping
T-90278,chat,2FA problem,Please delete my account an aall my personal data. This is for n upcoming backpacking trip.,account-access
T-90279,email,Problem with my order,"Hi there, The invoice in the box lists a Torrent rain jacket that is not what I was chargde for online - which one is actually shipping to me. The order had the Riverbend sandals and some smaller items in it. Appreciate it.",shipping
T-90280,chat,Promo code problem,the promo code SUMMER20 did not apply at checkout and I was charged full price. I tried calling but the wait time was over 45 minutes??,billing
T-90281,chat,Account security concern,when I log in my order history shows someone else's orders and charges. I have been a customer for a long time and this is the first problem I have had.,account-access
T-90282,chat,Change my email,i cannot log in to my account - it keeps saying my password is wrong even after I reset it. Order number is NW-79585 if that helps,account-access
T-90283,email,Question,"Good morning, My return was received four days ago but the refund of $24.99 still is not back on my card. I paid with the card ending 6740. Appreciate it. — Taylor Chen",billing
T-90284,email,Urgent,"Hello Northwind, Where is my order? The Trailhead hiking boots was supposed to arrive on Monday. This is for an upcoming backpacking trip. Thanks.",shipping
T-90285,webform,Need assistance,"Hi, The tracking says my orde was delivred but I was charged for shipping isnurance I never added. I contacted you last week about this and never hearrd back.",billing
T-90286,email,Help,"Hi ,I think someone else has been using my account - there is an order in my history I never placed. I already looked through the help center and could not find an answer. Thanks. — Riley Silva",account-access
T-90287,webform,Order status,"Hello Northwind, You split my order into two shipments and only one has any tracking movement. I placed the order about ten days ago. Thank you.",shipping
T-90288,email,Need assistance,"Hi, Only half of order NW-75573 showed up - the Anchor bear canister is missing from the box.I  need this sorted before the weekend. Hope you can help.  —Skyler Silva",shipping
T-90289,webform,Package missing,"Good morning, The tracking page says delivered but there is no package anywhere at my address. I tried calling but the wait time was over 30 minutes. Hope you can help.",shipping
T-90290,email,Password reset not working,"Hi, How do I change the email address on my account - I no longer have access to the old one. Appreciate it. — Skyler Kim",account-access
T-90291,chat,Question,Please delete my account and all my personal data?,account-access
T-90292,email,Tracking question,"Hey, My order NW-72387 was placed two weeks ago and the tracking still says label created. The package was a gift for my partner. Thank you. — Reese Nguyen",shipping
T-90293,email,Order status,"Good morning, Can you hold the shipment at a USPS pickup point instead of delivering to my door. The package was a gift for a friend. Appreciate it.",shipping
T-90294,webform,Support request,"Hi there, I was charged twice for order NW-63516 - there are two $58.00 charges on my card. The package was a gift for my daughter. Thanks in advance.",billing
T-90295,webform,Support request,"Hello Northwind, I paid $79.99 extra for two day shipping and it has been five days. Hope you can help.",shipping
T-90296,webform,Tracking question,"Hello, Can I change the delivery address on order NW-73877 before it ships. I tried calling but the wait time was over 20 minutes. Thank you.",shipping
T-90297,webform,Order status,"Hello Northwind, My refund was approved but the replacement Ember fuel canister tsill has no tracking number. I need this sorted before the weekend. Hope you can help.",shipping
T-90298,webform,Order not delivered,"Hey, If I refuse the package at delivery do I still have to pay return shipping. can i get an itemized receipt or invoice for order nw-68471 - i need it for taxes. The package was a gift for my son. Thanks in advance.",shipping
T-90299,chat,Need assistance,the tracking page says delivered but there is no package anywhere at my address. Order number is NW-47531 if that helps?,shipping
T-90300,webform,Charge I do not recognize,"Hello, Please cancel my Trail Club membership - I am still being billed $9.99 a month. I need this sorted before the weekend. Appreciate it.",billing
T-90301,chat,Tracking question,if I refuse the package at delivery do I still have to pay return shipping. I placed the order last week.,shipping
T-90302,chat,Urgent,I returned th Glacier 45 cooler and the rrfund I got was $24.00 short of what I paid??,billing
T-90303,email,Support request,"Hi, I need the Voltpack 20K power bank before this weekend - can you expedite shipping. Thank you. — Riley Whitfield",shipping
T-90304,chat,Need assistance,My account shows an order I already cancelled and the charge is still pending on my card. I tried calling but the wait time was over 30 minutes?,billing
T-90305,email,Order status,"Hello Northwind, Where is my order? The Merino trail socks was supposed to arrive two days ago. The order had the Cascade 0 sleeping bag and some smaller items in it. Appreciate it. — Morgan Silva",shipping
T-90306,webform,Question,"Hi there, I paid $249.99 extra for two day shipping and it has been two weeks. I have been a customer fo a long time adn this is the first problem I have had. Thanks.",shipping
T-90307,webform,Question,"Hi, Can you hold the shipment at a USPS pickup point instead of delivering to my door. i changed phones and can no longer get the two factor authentication code. I paid with the card ending 1558. Hope you can help.",shipping
T-90308,email,Shipping delay,The estimated delivery on my order keeps moving - it has changed three times this week. i keep getting logged out every time the app updates. This is for an upcoming family trip. — Reese Novak,shipping
T-90309,email,Support request,"Hello Northwind, I keep getting logged out every time the app updates. — Morgan Haddad",account-access
T-90310,chat,Problem with my order,my order history disappeared after I merged my old account with my nw email. The order had the Glacier 45 cooler and some smaller items in it,account-access
T-90311,webform,Change my email,"Hello, The password reset email never arrives - I have checked spam twice. I tried calling but the wait time was over 30 minutes. Thanks.",account-access
T-90312,email,Question,"Hello, My refund was approved but the replacement Riverbend sandals still has no tracking number. I tried calling but the wait time was over 30 minutes. Thanks. — Taylor Haddad",shipping
T-90313,email,Question,"Hey, Only half of order NW-46365 showed up - the Slate sunglasses is missing from the box. Please advise. — Kai Brooks",shipping
T-90314,email,Help,"Hello, The promo code SUMMER20 did not apply at checkout and I was charged full price. I paid with the card ending 9731. Thanks in advance. — Jordan Chen",billing
T-90315,webform,Help,"Hello, If I refuse the package at delivery do I still have to pay return shipping. I have been a customer for three seasons and this is the first problem I have had. Hope yu can help.",shipping
T-90316,chat,Delivery problem,wher eis my order? The Torrent rai pants was supposed to arrive on Monday. I need this sorted before Friday?,shipping
T-90317,email,Support request,"Hi there, The estimated delivery on my order keeps moving - it has changed twice this week.",shipping
T-90318,chat,Charge I do not recognize,my return was received a week ago but the refund of $64.99 still is not back on my card. I have been a customer for years and this is the first problem I have had??,billing
T-90319,chat,Question,I cannot open the tracking link for my order without signing in and the sign in page just loops. Order number is NW-75138 if that helps.,account-access
T-90320,webform,Need assistance,"Good morging, I returned the Halo climbing helmet and the refund I got was $89.50 short of what I paid. I ppaid with the card ending 3856.",billing
T-90321,chat,Password reset not working,please delete my account and all my personal data. my order nw-59697 was placed three days ago and the tracking still says label created,account-access
T-90322,email,Billing question,"Hi, I cancelled order NW-43500 minutes after placing it but the charge of $118.50 still went through. I paid with the card ending 2857. Thank you. — Skyler Silva",billing
T-90323,chat,Qeustion,The verification link in the signup email says it has expired. I placed the order last week.,account-access
T-90324,chat,Support request,the estimated delivery on my order keeps moving - it has changed three times this week. The order had the Lumen 400 headlamp and some smaller items in it.,shipping
T-90325,chat,Delivry problem,Can I change the delivery address on order NW-45260 before it ships. I tried calling but the wait time was over 20 minutes,shipping
T-90326,chat,Help,You charged the wrong card - the order should have gone on the card ending 2296. the email receipt went to my old address - i need to update where my invoices get sent,billing
T-90327,webform,Delivery problem,"Hello, Customs is asking me to pay $89.00 in import fees for order NW-56350 - was that supposed to happen. I have been a customer for three seasons and this is the first problem I have had.",shipping
T-90328,email,Order not delivered,"Hi, Only half of order NW-58013 showed up - the Ember camp stove is missing from the box. This is for an upcoming thru-hike. Thanks.",shipping
T-90329,email,Shipping delay,Can you hold the shipment at a FedEx pickup point instead of delivering to my door. Please advise. — Dana Garcia,shipping
T-90330,email,Charge I do not recognize,"Hello Northwind, You refunded the item but not the original shipping cost on order NW-45974. This is for an upcoming camping trip.",billing
T-90331,chat,Help,I changed phones and can no longer get the two factor authentication code?,account-access
T-90332,email,Support request,I paid $249.95 extra for two day shipping and it has been four days. I contacted you a few days ago about this and never heard back. Please advise. — Kai Patel,shipping
T-90333,webform,Order status,"Hello Northwind, I need the Summit 65 backpack before my trip on the 14th - can you expedite shipping. i think someone else has been using my account - there is an order in my history i never placed. my account seems to be locked after too many login attempts. I paid with the card ending 2221. Please advise.",shipping
T-90334,email,2FA problem,"Hi, The email receipt went to my old address - I need to update where my invoices get sent. I need this sorted before the weekend. Thanks. — Tayllor Brooks",account-access
T-90335,webform,Billing question,"Hey, Can I get an itemized receipt or invoice for order NW-76041 - I need it for my expense report.",billing
T-90336,chat,Support request,there is a charge from Northwind on my statement for $149.99 that I do not recognize. I have been a customer for years and this is the first problem I have had,billing
T-90337,chat,Urgent,The price of the Anchor bear canister dropped to $118.00 the day after I bought it - do you do price adjustments?,billing
T-90338,email,Where is my order,"Good morning, Where is my order? The Cascade 0 sleeping bag was supposed to arrive yesterday. The order had the Cirrus trekking poles and some smaller items in it. Thanks. — Kai Whitfield",shipping
T-90339,chat,Question,I paid $19.0 5xetra for two day shipping and it has been four nays. Order number is NW-61621 if that helps,shipping
T-90340,webform,Refund not received,"Hi, Can I get an itemized receipt or invoice for order NW-76373 - I need it for work. I tried calling but the wait time was over 30 minutes. Hope you can help.",billing
T-90341,email,Support request,"Hello, The estimated delivery on my order keeps moving - it has changed twice this week. Thank you. — Reese Kim",shipping
T-90342,webform,Payment issue,"Hi there, The price of the Dayhike 22 backpack dropped to $19.00 the day after I bought it - do you do price adjustments.",billing
T-90343,webform,Account security zoncern,"Hi there, Pleae delete my account and all my personal data. hTanks in advance.",account-access
T-90344,chat,Double charged,can I get an itemized receipt or invoice for order NW-42372 - I need it for taxes. I paid with the card ending 9613,billing
T-90345,email,Delivery problem,Where is my order? The Riverbend sandals was supposed to arrive yesterday. I need this sorted before the weekend. Hope you can help. — Riley Novak,shipping
T-90346,chat,Need assistance,The password reset email nnever arrives - I have checked spam several times. I contacted you a few day ago about this and never heard back,account-access
T-90347,chat,Delivery prbolem,i need the Anchor bear canister before Saturday - can you expedite shipping. The package was a gift for my daughter,shipping
T-90348,chat,Shipping delay,My package arrived with the box soaked and the Slate sunglasses inside looks damaged. how do i change the email address on my account - i no longer have access to the old one,shipping
T-90349,webform,Urgent,"Good morning, My order NW-76988 was placed over two weeks ago and the tracking still says label created. I paid with the card ending 3878. Please advise.",shipping
T-90350,chat,Order status,only half of order NW-50084 showed up - the Glacier 45 cooler is missing from the box. the password reset email never arrives - i have checked spam twice,shipping
T-90351,email,Urgent,"Good morning, Only half of order NW-75773 showed up - the Glacier 45 cooler is missing from the box. Thank you. — Casey Nguyen",shipping
T-90352,chat,Problem with my order,the price of the Merino trail socks dropped to $42.00 the day after I bought it - do you do price adjustments. I paid with the card ending 6922??,billing
T-90353,chat,Problem with my order,can you hold the sgipment at a DHL pickup point instead of delivering to my door. I paid with tthe card ending 7683?,shipping
T-90354,webform,Urgent,"Hi, I was charged twice for order NW-79108 - there are two $149.00 charges on my card. I already looked through the help center and could not find an answer. Thanks.",billing
T-90355,chat,Urgent,fedEx tracking shows my package has been sitting in Louisville for a week. I need this sorted before the end of the month??,shipping
T-90356,email,Question,"Hi, The tracking says my order was delivered but I was charged for shipping insurance I never added. I paid with the card ending 5465. — Avery Chen",billing
T-90357,chat,Need assistance,my account shows an order I already cancelled and the charge is still pending on my card. This is for an upcoming family trip?,billing
T-90358,webform,Support request,"Hey, Can I change the delivery address on order NW-58711 before it ships. This is for an upcoming thru-hike. Thank you.",shipping
T-90359,webform,Urgent,"Hi there, Can I get an itemized receipt or invoice for order NW-58990 - I need it for my expense report. I already looked through the help center and could not find an answer. Hope you can help.",billing
T-90360,webform,Problem with my order,"Hello Northwind, You split my order into two shipments and only one has any tracking movement. the email receipt went to my old address - i need to update where my invoices get sent. I need this sorted before the weekend. Thanks.",shipping
T-90361,chat,Billing question,The promo code SUMMER20 did not apply at checkout and I was charged full price. I already looked through the help center and could not find an answer.,billing
T-90362,chat,Order not delivered,you split my order into two shipments and oly one has any ttracking movement. I contacted you last week about this and never heard back,shipping
T-90363,email,Urgent,"Hey, I paid $249.50 extra for two day shipping and it has been five days. The package was a gift for my daughter. Hope you can help. — Sam Kim",shipping
T-90364,email,Question,"Hi, I paid $79.00 extra for two day shipping and it has been two days. I placed the order during the sale. Appreciate it. — Dana Brooks",shipping
T-90365,email,Tracking question,"Hey, UPS tracking shows my package has been sitting inL ouisville for a weeh.T his is for an uupcoming backpacking trip. Appreciate it.",shipping
T-90366,chat,Quostion,only half of order NW-41673 showed up - the Lumen 800 headlamp is missing from the box. The order had the Halo climbing helmet and some smaller items in it??,shipping
T-90367,email,Quesion,"Hello Northwind, You refunded the item but not the original shipping cost on order NW-44217. i think someone else has been using my account - there is an order in my history i never placed. I need this sorted before the weekend. Appreciate it. — Jordan Silva",billing
T-90368,chat,2FA prbolem,the email receipt wwent to my old address - I need to update wherem y invocies get sent. The package was a gift for my partner?,account-access
T-90369,email,Question,UPS tracking shows my package has been sitting in a sort facility for three days. I contacted you a few days ago about this and never heard back. Thanks in advance. — Taylor Novak,shipping
T-90370,webform,Question,FedEx tracking shows my package has been sitting in Louisville for four days. The order had the Dayhike 22 backpack and some smaller items in it.,shipping
T-90371,webform,Problem with my order,"Hi, If I refuse the package at delivery do I still have to pay return shippinng. The package was a gift for a friend. hTank you.",shipping
T-90372,email,Change my email,"Hi there, The email receip twent to my old address - I need to update where my invoices get sent. I need this sorted before the end of the month. Hope you can help. — Devon Silva",account-access
T-90373,webform,Tracking question,"Hi, Where is my order? The Aurora camp lantern was supposed to arrive last Friday. I already looked through the help center and could not find an answer.",shipping
T-90374,chat,Help,I need the Otter dry bag before Friday - can you expedite shipping. i returned the glacier 45 cooler and the refund i got was $89.95 short of what i paid?,shipping
T-90375,email,Account locked,The email receipt went to my old address - I need to update where my invoices get sent. The order had the Anchor bear canister and some smaller items in it. Thank you.,account-access
T-90376,chat,Order not deliivered,The tracking page says delivered but there is no package anywhere at my address. there is a charge from northwind on my statement for $58.99 that i do not recognize.,shipping
T-90377,chat,Support request,The tracking says my order was delivered but I was charged for shipping insurance I never added. the password reset email never arrives - i have checked spam several times?,billing
T-90378,email,Order status,"Goodm orning, You split my order into two shipments and only one has any tracking movement. my account seems to eb locked after too many login attempts. I contacted you last week about this and never ehard back. Thanks. — Casey Whitfield",shipping
T-90379,chat,Order not delivered,if I refuse the package at delivery do I still have to pay return shipping. I need this sorted efore Friday??,shipping
T-90380,webform,(no subject),sent from my phone. Devon,shipping
T-90381,chat,Need assistance,if I refuse the package at delivery do I still have to pay return shipping.  conatcted you a few days ago aout this and never heard back??,shipping
T-90382,chat,Order not delivered,can you hold the shipment at a FedEx pickup point instead of delivering to my door. The order had the Windbreak fleece and some smaller items in it?,shipping
T-90383,webform,Question,"Hi there, My order NW-64408 was placed ten days ago and the tracking still says label created. I contacted you last week about this and never heard back. Hope you can help.",shipping
T-90384,email,Urgent,"Hello, You split my order into two shipment and only one has any tracking movement. Odrxr number is NW-56524 if that helps. Thanks. — Rowan Kim",shipping
T-90385,webform,Charge I do not recognize,There is a charge from Nortthwind on my statement for $35.00 that I d not recognize. Please advise.,billing
T-90386,chat,Suupport request,My package arrived with the box crushedd and the Windbreak fleece inside looks daaged.m y accunt seems to be locked after too many login attempts?,shipping
T-90387,chat,Problem with my order,Where is my order? The Glacier 45 cooler was supposed to arrive on Monday. I contacted you a few days ago about this and never heard back.,shipping
T-90388,chat,Question,when I log in my order history shows someone else's orders and charges. I have been a customer for three seasons and this is the first problem I have had,account-access
T-90389,email,Help,"Hello Northwind, If I refuse the package at delivery do I still have to pay return shipping. the verification link in the signup email says it has expired. Thanks in advance. — Sam Chen",shipping
T-90390,email,Support request,"Hello Northwin, The estimated delivery on my order keeps moving - it has changed three times this week. The order had the Trailhead hiking boots and some smaller items in it.P lease advise. — Rowan Ortiz",shipping
T-90391,chat,Help,I was charged sales tax on order NW-54364 but my state does not tax clothing.,billing
T-90392,webform,Payment issue,"Hello, My gift card balance shows $189.99 but checkout would not let me use it. the estimated delivery on my order keeps moving - it has changed three times this week. I tried calling but the wait time was over 30 minutes. Thanks in advance.",billing
T-90393,email,Need assistance,"Hello Northwind, Only half of order WN-41888 showed up - the Glacier 45 cooler is missing from the box. I already looked through the help center and could not find an answer. Please advise.",shipping
T-90394,email,Urgent,"Hi, The tracking page says delivered but there is no package anywhere at my address. This is for an upcoming canoe trip. Thank you. — Morgan Garcia",shipping
T-90395,email,Change my email,I changed phones and can no longer get the two factor authentication code. I already looked through the help center and could not find an answer. Please advise. — Rowan Chen,account-access
T-90396,chat,Charge I do not recognize,i was charged sales tax on order NW-56748 but my state does not tax clothing. I need this sorted before Friday.,billing
T-90397,chat,Help,Why was I charged $64.50 for shipping when the site says orders over $75 ship free. my order nw-42877 was placed over two weeks ago and the tracking still says label created?,billing
T-90398,webform,Need assistance,"Good mornin,g II was hcarged twice for order NW-74677 - there are two $79.00 charges on my card. the estimated delivery on my order keeps moving - it has changed three times this week. Order number is NW-75127 if that helps. Thanks in advance.",billing
T-90399,email,Account locked,"Hey, When I log in my order history shows someone else's orders and charges. I need this sorted before Friday. Please advise. — Quin Patel",account-access
T-90400,email,Order status,The estimated delivery on my order keeps moving - it has canged three times this week. Order number is NW-41512 if that helpps. Thank you.,shipping
T-90401,email,Support request,Wheer ism y order? The Ridgeline 4P tent was supposed to arrive on Monday. I placed the order on hte 3rd. — Alex Haddad,shipping
T-90402,webform,Password reset not working,"Hey, I cannot open the tracking link for my order without signing in and the sign in page just loops. The order had the Voltpack 20K power bank and some smaller items in it. Appreciate it.",account-access
T-90403,chat,Billing question,i returned the Lumen 400 headlamp and the refund I got was $58.99 short of what I paid. This is for an upcoming camping trip.,billing
T-90404,chat,Need aassistance,my account shows an order I already cancelled and the charge is still pending on my card. I tried calling btu the wait time was over 20 minutes.,billing
T-90405,email,Shipping delay,"Good morning, Can I change the delivery address on order NW-69704 before it ships. I placed the order last week. Please advise. — Jordan Kaur",shipping
