ticket_id,channel,subject,body
T-20210,webform,,NW-71243
T-20211,chat,Need assistance,The estimated delivery on my order keeps moving - it has changed twice this week. I have been a customer for a long time and this is the first problem I have had
T-20212,chat,Help,can you hold the shipment at a USPS pickup point instead of delivering to my door. I need this sorted before the weekend.
T-20213,webform,Membership billing,"Hello, The tracking says my order was delivered but I was charged for shipping insurance I never added. I contacted you last week about this and never heard back. Please advise."
T-20214,webform,Urgent,I think someone else has been using my account - there is an order in my history I never placed. This is for an upcoming canoe trip. Thanks in advance.
T-20215,webform,Urgent,"Hi there, My package arrived with the box crushed and the Anchor bear canister inside looks damaged. I have been a customer for three seasons and this is the first problem I have had. Appreciate it."
T-20216,email,Return status,"Good morning, The Riverbend sandals does not fit - how do I exchange it for the next size down. Appreciate it."
T-20217,webform,Need assistance,"Good morning, Please cancel my Trail lub membership - I ams till being billed $12.99 a month. Please advise."
T-20218,webform,Support request,"Hi there, I was charged sales tax on order NW-76378 but my state does not tax clothing. I contacted you a few days ago about this and never heard back. Thank you."
T-20219,webform,Problem with my order,"Hello Northwind, I cannot log in to my account - it keeps saying my password is wrong even after I reset it. This is foor an upcoming backpacking trip. Hope you can help."
T-20220,email,Urgent,"Hello Northwind, I returned the Cirrus trekking poles and the refund I got was $64.50 short of what I paid. I placed the order during the sale. Appreciate it. — Casey Garcia"
T-20221,webform,Shipping delay,"Hi, You split my order into two shipments and only one has any tracking movement. I placed the order during the sale. Please advise."
T-20222,chat,Support request,I want to return the Lumen 800 headlamp I bought with the TRAIL15 promo code - do I get the full price or the discounted price back. I paid with the card ending 8006?
T-20223,email,Question,"Hello Northwind, FedEx tracking shows my pacckage has been sitting in a sort facility for over two weeks. I have been a customer for three seasons and this is the first problem I hae had. Thank you. — Devon Kim"
T-20224,chat,Sizing question,is the Torrent rain jacket actually waterproof or just water resistant. I already looked through the help center nd ccould not find an answer
T-20225,chat,Question,the invoice in the box lists a Halo climbing helmet that is not what I was charged for online - which one is actually shipping to me. I tried calling but the wait time was over 20 minutes
T-20226,webform,Support request,"Hello Northwind, Please cancel the exchange on order NW-55436 - I just want my money back on the return instead. Please advise."
T-20227,chat,Support request,The valve on my Basecamp camp chair broke after one weekend - I want to make a warranty claim. I paid with th ecard ending 6026
T-20228,webform,Support request,"Good morning, The Ember fuel canister showed u pdefecive straight out of the box and I want a replacement. Hope you can help."
T-20229,email,Support iequest,When I log in my order history shows someone else's orders and charges. Thanks. — Reese Ortiz
T-20230,email,Support request,"Good morning, Does the Summit 65 backpack ever go on sale - it was cheaper during the last promo. Appreciate it. — Sam Haddad"
T-20231,chat,Late order,Where is my order? The Cascade 0 sleeping bag was supposed to arrive on Monday.
T-20232,email,Stock question,"Hello, Is there a charge for the Trail Club membership that comes up at checkout. This is for an upcoming backpacking trip. Thanks. — Skyler Garcia"
T-20233,email,Late order,"Hello Northwind, My package arrived with the box torn open and the Aurora camp lantern inside looks damaged. The order had the Torrent rain pants and some smaller items in it. Thanks."
T-20234,webform,Delivery problem,"Hello Northwind, My refund was approved but the replacement Merino trail socks still has no tracking number. I already looked through the help center and could not find an answer."
T-20235,chat,Tracking question,i need the Ember camp stove before Friday - can you expedite shipping??
T-20236,webform,Package missing,"Hey, You split my order into two shipments and only one has any tracking movement. how long does the lumen 800 headlamp run on a full charge at the highest brightness. is the torrent rain jacket actually waterproof or just water resistant. I contacted you last week about this and never heard back. Thanks in advance."
T-20237,email,Exchange needed,"Hi there, I want to return the Ember fuel canister from order NW-44268 for a refund. Order number is NW-62542 if that helps. Thanks in advance. — Casey Kaur"
T-20238,webform,Late orer,"Hi, Can you hold the shipment at a FedEx pickup point instead of delivering to my door. I placed the order last week. Hope you can help."
T-20239,email,Retunr label,"Hi, What is your return policy on sale items like the Summit 65 backpack. I tried calling but the wait time was over 20 minutes. Thanks in advance."
T-20240,webform,Need assistance,The estmated delivery on my order keeps moving - it has changed twice this week. I contacted you last week about this and never heard back. Appreciate it.
T-20241,chat,Problem with my order,The return label you emailed me shows the wrong delivery address for the warehouse
T-20242,chat,Tracking question,if I refuse the package at delivery do I till have to pay return shipping. I paid with the carp ending 6890?
T-20243,chat,Warranty claim,I sent my return back a week ago and have not heard anything since.
T-20244,chat,Problem with my order,the tracking says my order was delivered but I was charged for shipping insuranej I never added. I contacted yuo last week about this and never heard back?
T-20245,webform,Tracking question,"Hi, The invoice in the box lists a Trailhead hiking boots that is not what I was charged for online - which one is actually shipping to me. Appreciate it."
T-20246,email,Urgent,"Good morning, Is the Drifter 10 kayak stable enough for a beginner on a lake. I tried calling but the wait time was over 30 minutes. Thanks in advance. — Taylor Patel"
T-20247,chat,Sizing question,Is the Ridgeline 4P tennt  truue 4-season tent or more of a summeer shelter?
T-20248,chat,Help,What is your return policy on sale items like the Glacier 45 cooler. i keep getting logged out every time the app updates?
T-20249,email,Need asistance,"Good morning, I sent my return back ten days ago and have not heard anything since. I paid with the card ending 1717. Hope you can help. — Sam Nguyen"
T-20250,email,Problem with my order,"Hey, I am past the 30 day window but the Trailhead hiking boots has a manufacturing defect - does the warranty cover it. Appreciate it."
T-20251,email,Support request,"Hello, The Summit 65 backpack showed up defective straight out of the box and I want a replacement. The order had the Glacier 45 cooler and some smaller items in it. Thank you. — Alex Nguyen"
T-20252,email,Need assistance,"Hello Northwind, I received someone else's package with my label on it - I assume they have my Lumen 400 headlamp. — Casey Haddad"
T-20253,email,Support request,The Puffin down vest does not fit - how do I exchange it for the next size down. I contacted you a few days ago about this and never heard back. Thank you. — Reese Patel
T-20254,chat,Sizing question,Is the Drifter 10 kayak stable enough for a beginner on a slow river. I paid with the card ending 8598.
T-20255,webform,Account llocked,"Hey, The email receipt went to my old address - I need to update where my invoices get sent. Thanks."
T-20256,email,Support request,"Hi there, I paid $79.50 extra for two day shipping and it has been a week. I have been a customer for a long time and this is the first problem I have had. Thanks."
T-20257,webform,Problem with my order,"Hey, Is the Drifter 10 kayak stable enough for a beginnr onf lat water. Thanks."
T-20258,chat,Need asisstance,my return was received a week ago but the refund of $118.99 still is not back on my card. Order number is NW-59549 if that helps.
T-20259,chat,Package missing,my packagea rrived with the box torn open and the Firefly bug net inside looks okay. The order had the Puffin down vest and some smaller items in it.
T-20260,chat,Product question,Is there a charge for the Trail Club membership that comes up at checkout. I have been a customer for years and this is the first problem I have had
T-20261,email,Package missing,"Hello, FedEx tracking shows my package has been sitting in Newark for two weeks. I already looked through the help center and could not find an answer. Hope you can help."
T-20262,chat,Need assistance,i was charged a restocking fee of $214.00 on my return - nothing on the site mentioned that.
T-20263,email,Support request,"Hello Northwind, Does the Ember camp stove ever go on sale - it was cheaper during the last promo. my account seems to be locked after too many login attempts. This is for an upcoming thru-hike. Please advise."
T-20264,webform,Problem with my order,"Hello, Does the Ridgeline 2P tent come with a stuff sack. Thank you."
T-20265,email,Defective item,You sent the wrong item - I ordered the Torrent rain pants and got a Voltpack 20K power bank instead. I need this sorted before the end of the month. Appreciate it.
T-20266,chat,Help,please cancel the exchange on order NW-69915 - I just want my money back on the return instead. i returned the trailhead trail runners and the refund i got was $118.99 short of what i paid?
T-20267,chat,Urgent,i cannot open the tracking link for my order without signing in and the sign in page just loops. The order had the Slate sunglasses and some smaller items in it??
T-20268,email,Support rquest,"Hi there, Customs is asking me to pay $24.50 in import fees for order NW-51725 - was that supposed to happen. Thank you."
T-20269,webform,Return label,"Hello, I am past the 30 day window but the Glacier 45 cooler has a manufacturing defect - does the warranty cover it. I placed the order during the sale. Hope you can help."
T-20270,chat,Damaged product,I sent my return back two days ago and have not heard anything since. I placed the order about ten days ago??
T-20271,email,Problem with my order,"Hi, The return label you emailed me shows the wrong delivery address for the warehouse. Please advise. — Sam Garcia"
T-20272,chat,Problem with my order,Is the Ridgeline 4P tent a true 4-season tent or more of a summer shelter. I placed the order about ten days ago??
T-20273,email,Damaged product,"Hi, Please cancel the exchange on order NW-70196 - I just want my money back on the return instead. I need this sorted before the end of the month. Thanks."
T-20274,webform,Product question,"Hey, When will the Riverbend sandals be back in stock in large. I contacted you a few days ago about this and never heard back. Thank you."
T-20275,chat,Delivery problem,You split my order into two shipments and only one has any tracking movement. I already looked through the help center and could not find an answer??
T-20276,email,Order status,Can I change the delivery address on order NW-61481 before it ships. Order number is NW-51897 if that helps. Please advise. — Quinn Novak
T-20277,webform,Pgoblem with my order,"Hi, The Anchor bear canister does not fit - how do I exchange it for the wide version. I paid with the card ending 7375. Please advise."
T-20278,chat,Damaged product,I was charged a restocking fee of $24.50 on my return - nothing on the site mentioned that. I already looked through the help center and could not find an answer
T-20279,email,Urgent,The return label you emailed m eshows the wrong deliveryy address for the warehouse. please cancel my trail club membership  -i am still being billed $9.99 a month. I already looked through he help center and could not find an answer. Please advise. — Rowan Patel
T-20280,chat,Support request,i changed phones and can no longer get the two factor authentication code?
T-20281,chat,Help,The Cascade 20 sleeping bag showed up with a broken clip straight out of the box and I want a replacement. i was charged sales tax on order nw-44325 but my state does not tax clothing??
T-20282,email,(no subject),sent from my phone. Riley
T-20283,webform,Urgent,"Good morning, Is the Torrent rain pants still returnable if I opened the packaging. is the drifter 10 kayak stable enough for a beginner on flat water. how long does shipping usually take to a po box if i order the lumen 400 headlamp today. I contacted you last week about this and never heard back. Please advise."
T-20284,chat,Problem with my order,My exchange shipped but tracking says it is going ack to yo uinstead of to me. I placed the ordeer about ten days ago
T-20285,email,Question,"Hi there, My package arrived with the box crushed and the Aurora camp lantern inside looks damaged. my return was received two days ago but the refund of $312.99 still is not back on my card. I paid with the card ending 1704. Hope you can help. — Dana Novak"
T-20286,webform,Question,"Hi, When I log in my orde history shows someone else's orders and charges. I already looked through the help center and could not find an answer. Please avise."
T-20287,webform,Cannot log in,I cannot open the tracking link for my order without signing in and the sign in page just loops. you refunded the item but not the original shipping cost on order nw-79820. I have been a customer for a long time and this is the first problem I have had. Thanks in advance.
T-20288,email,Login troouble,"Hi there, The password reset email never rarives - I have checked spam several times. can i change the delivry address on order nw-59877 before it ships. I placed the order last week. Please advise."
T-20289,webform,Promo code problem,"Hello Northwind, You charged the wrong card - the order should have gone on the card ending 5409. if the drifter 10 kayak does not fit can i return it for free or is return shipping on me. I tried calling but the wait time was over 20 minutes. Thank you."
T-20290,webform,Charg eI do not recognize,"Hi there, The price of the Riverbend sandals dropped to $249.00 the day after I bought it - do you do price adjustments. I placed the order last week. Thank you."
T-20291,email,Urgent,"Hello Northwind, Does the Glacier 45 cooler come with a stuff sack. Order number is NW-68487 if that helps. Please advise. — Taylor Nguyen"
T-20292,chat,Support request,Where is my order? The Basecamp camp chair was supposed to arrive last Friday. The package was a gift for my son?
T-20293,email,Defective item,"Hello Northwind, The seam on my Ridgeline 4P tent tore after a month - I want to make a warranty claim. The order had the Trailhead hiking boots and some smaller items in it. Appreciate it."
T-20294,email,Question,"Hello Northwind, I was charged sales tax on order NW-60640 but my state does not tax clothing. The package was a gift for a friend. Appreciate it. — Devon Brooks"
T-20295,email,Password reset not working,"Hello Northwin,d I cannot open the tracking link for my order without signing in and the sign in page just loops. teh promo code summer20 did not apply at checkout and i was charged full price. i was charged sales tax on order nw-59787 but my state does not tax clothing. I tried calling but the wait time was over 03 minutes. Thanks in advance."
T-20296,webform,Return request,"Hi, My exchange shipped but tracking says it is going back to you instead of to me. I paid with the card ending 4511."
T-20297,webform,Need assistance,"Hey, I want to return the Trailhead hiking boots from order NW-64326 for a refund. I contacted you last week about this and never heard back. Thank you."
T-20298,chat,Where is my order,The tracking page says delivered but there is no package anywhere at my address. I already looked through the help cente rand could not find ann answer?
T-20299,chat,Urgent,my exchange shipped but tracking says it is going back to you instead of to me. I tried calling but the wait time was over 20 minutes.
T-20300,email,Urgent,"Good morning, Can I get an itemized receipt or invoice for order NW-50712 - I need it for work. This is for an upcoming thru-hike. Thanks in advance. — Morgan Patel"
T-20301,chat,Promo code problem,i returned the Merino trail socks and he refund I got was $129.00 short of what I paid??
T-20302,email,Problem with my order,"Hi, My refund was approved but the replacement Drifter 10 kayak still has no tracking number. I contacted you a few days ago about this and never heard back. Thanks. — Skyler Novak"
T-20303,chat,Problem with my order,I sent my return back three days ago and have not heard anything since
T-20304,email,Spec question,"Hello Northwind, Is the Torrent rain jacket actually waterproof or just water resistant. This is for an upcoming camping trip. Appreciate it. — Devon Nguyen"
T-20305,webform,Damaged product,The return label you emailed me shows the wrong delivery address for the warehouse. the estmated delivery on my order keeps moving - it has changed three times this week. i need the trailhea dhiking boots before saturday - can you expedite shipping. The package wasa  gift for my partner. Thanks.
T-20306,email,Cannot log in,"Hello Northwind, When I log in my order history shows someone else's orders and charges. — Alex Ortiz"
T-20307,email,Urgent,How long does shipping usually take to Alaska if I order the Otter dry bag today. I contacted you last week about this and never herd back. Please advise. — Morgan Patel
T-20308,email,Problem with my order,"Hey, I received someone else's package with my label on it - Ia ssume they have my Torrent rain jacket. The order jad the Firefly bug net and some smaller items in it. — Jordan Broeks"
T-20309,email,Warranty claim,"Hi there, How do I get a return shipping label for order NW-49906. my account seems to be locked after too many login attempts. This is for an upcoming backpacking trip. Thanks in advance."
T-20310,chat,Care instructions,is the Ridgelnie 2P tent a true 4-season tent or more of a summer shelter. Order number is NW-69691 if that helps??
T-20311,webform,Tracking question,"Hi there, I need the Halo climbing elmet before myt rip on the 14th - can you expedite shipping. I have been a customer for three seasons and this is the first problem I have had."
T-20312,chat,Problem with my order,is the Torrent rain pants actually waterproof or just water resistant. The package was a gift for my son
T-20313,email,Membership billing,The tracking sas y order wa delivered but I was chargde for shipping insurance I never added. Thanks in advance. — Jamie Nguyen
T-20314,email,Need assistance,"Good morning, Is there a charge for the Trail Club membership that comes up at checkout. i am past the 30 day window but the halo climbing helmet has a manufacturing defect - does the warranty ocver t. the strap on my drifter paddle failed after two uses - i want to make a warranty claim."
T-20315,chat,Late order,only half of order NW-46185 showed up - the Cascade 20 sleeping bag is missing from the box. I placed the order about ten days ago.
T-20316,email,Question,"Good morning, Please delete my account and all my personal data. I placed the order during the sale. Thanks."
T-20317,email,Help,"Hi there, The invoice in the box lists a Torrent rain jacket that is not what I was charged for online - which one is actually shipping to me. I placed the order last week. Hope you can help. — Jordan Ortiz"
T-20318,webform,Help,"Hello, My order NW-68016 was placed two weeks ago and the tracking still says label created. Order number is NW-48893 if that helps. Thanks."
T-20319,email,Exchange needed,"Hi there, How do I get a return shipping label for order NW-50338. Thanks in advance. — Casey Ortiz"
T-20320,chat,Problem with my order,i sent my return back three days ago and have not heard anything since. I tried calling but the wait time was over 20 minutes?
T-20321,webform,Package missing,"Hello Northwind, Can you hold the shipment at a FedEx pickup point instead of delivering to my door. I have been a customer for three seasons and this is the first problem I have had. Thanks."
T-20322,chat,Need assistance,why was I charged $214.00 for shipping when the site says orders over $75 ship free. how do i get a return shipping label for order nw-70929.
T-20323,webform,Sizing question,"Hi, What is the temperature rating on the Cascade 0 sleeping bag really good down to. I already looked through the help center and could not find an answer."
T-20324,webform,Tracking question,"Hi, The tracking page says delivered but there is no package anywhere at my address. I paid with the card ending 1346. Appreciate it."
T-20325,chat,Account security concern,the email receipt went to my old address - I need to update where my invoices get sent. I already looked through the help center and could not find an answer?
T-20326,chat,Help,You split my order into two shipments and only one has any tracking movement. Order number is NW-63395 if that helps.
T-20327,chat,Support reqest,only half of order NW-72067 showed up - the Merin otrail socks i smissing from theb of. I have been a customer for a long time and this is the first problem I have had??
T-20328,webform,Spec question,"Hi, How long does the Lumen 800 headlamp run on a full charge at the highest brightness. This is for an upcoming thru-hike."
T-20329,email,Question,"Hello, I ekep getting logged out every time tthe app updates. Order number is NW-78219 if that helps. Thank you. — Riley Larsen"
T-20330,email,Problem with my order,"Hey, Where is my order? The Cascade 0 sleeping bag was supposed to arrive last Friday. The order had the Drifter 10 kayak and some smaller items in it. Appreciate it."
T-20331,email,Care instructions,"Hi, If the Dayhike 22 backpack does no fit can I return it for free or is return shipping on me .I placed the order on the 3rd. Thanks in advance. — Rowan Garcia"
T-20332,webform,Befoe I buy,"Hi, How long does the Lumen 800 headlamp run on a full charge at the highest brightness. you refunded the item but not the original shipping cost on order nw-77122. This is for an upcoming family trip. Please advise."
T-20333,email,Cannot log in,"Hi there, My account seems to be lockd after too many loggin attempts. This is for an upcoming canoe trip. Thank you. — Taylor Novak"
T-20334,email,Product question,"Hello, Does the Riverbend sandals come with a repair kit. I tried calling but the wait time was over 30 minutes. Hope you can help."
T-20335,chat,Exchange neeeded,I received someone else's package with my label on it - I assume they have my Basecamp camp chair. The order had the Puffin down vets and some smaller items in it
T-20336,chat,Question,how long does shipping usually take to Hawaii if I order the Drifter 10 kayak today??
T-20337,chat,Charge I do not recognize,There is a charge from Northwind on my statement for $42.99 that I do not recognize. I already looked through the help center and could not find an answer??
T-20338,chat,Problem with my order,there is a charge from Northwind on my statement for $312.99 that I do not recognize. i cannot log in to my account - it keeps saying my password is wrong even after i reset it
T-20339,chat,Password reset not working,i keep getting logged out every time the app pdates. Order number is NW-67434 if that helps??
T-20340,email,Support request,"Hi there, My account shows an order I already cancelled and the charge is still pending on my card. I contacted you a few days ago about this and never heard back. Hope you can help. — Casey Kaur"
T-20341,chat,Support request,is the Torrent rain pants actually waterproof or just water resistant??
T-20342,chat,Change my email,the verification link in the signup email says it has expired. I already looked through the help center and could not find an answer??
T-20343,webform,Compatibility question,"Good morning, Do the Trailhead hiking boots run narrow - I am usually a 11. I contacted you a few days ago about this and never heard back. Hope you can help."
T-20344,chat,Urgent,please cancel the exchange on order NW-42001 - I just want my money back on the return instead. I need this sorted before the weekend.
T-20345,webform,Support request,"Hello, Iw as charged a restocking fee of $249.95 on my return - onthing on the site mentioned that. I already looked through the help center and could not find an answer."
T-20346,chat,Warranty claim,The Trailhead trail runners showed up with a broken clip straight out of the box and I want a replacement. the invoice in the box lists a drifter 10 kayak that is not what i was charged for online - which one is actually shipping to me
T-20347,email,Problem with my order,"Hey, Only half of order NW-52126 showed up - the Aurora camp lantern is missing from the box. Thanks. — Avery Kim"
T-20348,chat,Support request,My return was received five days ago but the refund of $35.00 still is not back on my card. I tried calling but the wait time was over 20 minutes??
T-20349,chat,Delivery problem,where is my order? The Drifter 10 kayak was supposed to arrive on Monday. The order had the Cascade 20 sleeping bag and some smaler items in it
T-20350,chat,Help,see attached screenshot for order NW-70386
T-20351,email,Billing question,"Hi, My account shows an order I already cancelled and the charge is still pending on my card. This is for an upcoming canoe trip. Thanks. — Reese Okafor"
T-20352,email,Delivery problem,"Hello, Only half of order NW-72457 showed up - the Riverbend sandals is missing from the box. Order number is NW-77932 if that helps. Appreciate it. — Jamie Haddad"
T-20353,email,Need assistance,"Hi there, Please cancel the exchange on order NW-48071 - I just want my mooney back on the return instead. i returned the slaet sunglasses and the refund i got was $118.99 short of what i paid. my account shows an order i already cancelled and the charge us still pending on my card. — Devon Whitfield"
T-20354,chat,Exchange needed,The buckle on my Ridgeline 4P tent failed after a month - I want to make a warranty claim. Order number is NW-47969 if that helps?
T-20355,email,Invoice request,"Hey, I returned the Torrent rani jacket and the refund I got was $89.50 short of what I pain. I contacted you a few days ago about this and never heard back. Hope you can help. — Rowan Novak"
T-20356,email,Help,"Hey, I changed phones and can no longer get the two factor authentication code. i cancelled order nw-78460 the same day after placing it but the charge of $129.50 still went through. I have been a customer for years and this is the first problem I have had. Thanks in advance. — Kai Haddad"
T-20357,webform,Need assistance,"Hello Northwind, Customs is asking me to pay $64.95 in import fees for order NW-57589 - was that supposed to happen. Please advise."
T-20358,email,Help,"Hi there, I was charged a restocking fee of $149.99 on my return - nothing on the site mentioned that. I paid with the card ending 3050. Hope you can help. — Riley Garcia"
T-20359,webform,Package missing,Can you hold the shipment at a DHL pickup point instead of delivering to my door. Appreciate it.
T-20360,email,Urgent,"Hey, I paid $24.00 extra for two day shipping and it has been three days. is the lumen 400 headlamp still returnable if i used it once. I paid with the card ending 9170. Thank you."
T-20361,email,Order not delivered,"Hi there, I need the Torrent rain jacket before Saturday - can you expedite shipping. I contacted you a few days ago about this and never heard back. Hope you can help. — Morgan Ortiz"
T-20362,webform,Question,"Good morning, I was charged sales tax on order NW-66720 but my state does not tax clothing. I tried calling but the wait time was over 20 minutes. Thanks."
T-20363,chat,Exchange needed,i am past the 30 day window but the Puffin down vest has a manufacturing defect - does the warranty cover it. I have been a customer for years and this is the first problem I have had.
T-20364,webform,Problem with my order,"Good morning, Is the Torrennt rain jacket actually waterproof or just water resistant. i think someone else has been using my accouna - there is an order in my hisotry i never placed. the password reset emai never arrives - i have checked spam several times. I have been a customer for years and this is the first problem I have had. Hope you can help."
T-20365,email,Package missing,"Hello Northwind, The tracking page says delivered but there is no package anywhere at my address. I tried calling but the wait time was over 20 minutes. Please advise. — Skyler Chen"
T-20366,email,Spec question,"Hello Northwind, Is the Drifter 10 kayak stable enough for a beginner on a slow river. Thank you. — Rowan Patel"
T-20367,chat,Productq uestion,can I machine wash the Merino trail socks or is it dry clean only. I paid with the card ending 1360
T-20368,email,Question,"Hello Northwind, What is your return policy on sale items like the Voltpack 20K power bank. The order had the Dayhike 22 backpack and some smaller items in it. Thanks."
T-20369,chat,Order status,my refund was approved but the replacement Windbreak fleece still has no tracking number. I already looked through the help center and could not find an answer??
T-20370,email,Double charged,I cancelled order NW-41519 an hour after placing it but the charge of $249.00 still went through. — Alex Kaur
T-20371,webform,Package missing,"Hi there, If I refuse the package at delivery do I still have to pay return shipping. I tried calling but the wait time was over 20 minutes. Appreciate it."
T-20372,webform,Account security concern,"Hey, I changed phones and can no longer get the wto facotr auhentication code. Order number is NW-52421 if that helps. Appreciate it."
T-20373,email,Urgent,"Hey, There is a charge from Northwind on my statement for $19.99 that I do not recognize. I already looked through the help center and could not find an answer. Thanks in advance. — Reese Whitfield"
T-20374,chat,Question,what is your return policy on sale items likw the Dayhike 22 backpackk. This is for an upcoming thru-hike??
T-20375,webform,Problem with my order,"Hey, I want to return the mEber camp stove I bought with the SUMMER20 promo code - do I egt the full price or the discounted price back. Order number is NW-41327 if that helps. Thanks in advance."
T-20376,email,Wrong item received,"Hey, I am past the 30 day window but the Trailhead trail runners has a manufacturing defect - does the warranty cover it. This is for an upcoming backpacking trip. Hope you can help."
T-20377,email,Stock quistion,"Hi, Can the Voltpack 20K power bank charge the Aurora camp lantern over USB. Order number is NW-57074 if that helps. Hope you can help. — Skyler Larsen"
T-20378,webform,Support requset,"Hi there,Y ou chrge dthe wrong car - the order should have gone on the card ending 4184. I have been a customer for years and this is the first problem I have had. Thanks."
T-20379,email,Product question,"Hey, Is the Torrent rain pants actually waterproof or just water resistant. i was charged twice for order nw-58657 - there are two $19.99 charges on my card. can i get an itemized receipt or invoice for order nw-60459 - i need it for taxes. Order number is NW-58909 if that helps. Thanks. — Rowan Chen"
T-20380,chat,Problem with my order,My refund was approved but the replacement Ember fuel canister still has no trackingn umber. I have been a customer for a long time and this is the first problem I have had.
T-20381,chat,Charge I do not recognize,There is a charge from Northwind on my statement for $214.50 that I do not recognize. my order history disappeared after i merged my old account with my new email?
T-20382,chat,Return label,I received someone else's package with my label on it - I assume they have my Torrent rain jacket. is the drifter 10 kayak stable enough for a beginner on a lake?
T-20383,webform,Question,The estimated delivery on my order keeps moving - it has changed three times this week. I tried calling but the wait time was over 20 minutes. Thanks in advance.
T-20384,chat,Billing question,please cancel my Trail Club membrship - I am still being billed $9.99 am onth. I contacted you last week about this and never heard back??
T-20385,email,Password reset not working,My order history disappeared zfter I merged my old account with my new email. I paid with the card ending 2984. — Alex Haddad
T-20386,webform,Urgent,"Hello, Where is my order? The Torrent rain jacket was supposed to arrive yesterday. the password reset email never arrives - i have checked spam twice. when i log in my order history shows someone else's orders and charges. I tried calling but the wait time was over 20 minutes. Thafks."
T-20387,chat,Support request,if the Torrent rain jacket does not fit can I return it for free or is return shipping on me.
T-20388,email,Wrong item received,"Hello Northwind, I am past the 30 day window but the Merino trail socks has a manufacturing defect - does the warranty cover it. I have been a customer for a long time and this is the first problem I have had. Thanks. — Skyler Silva"
T-20389,email,Wrong item received,"Hey, I want to returnt he Slate sunglasses I bought with the TRAIL15 promo code - do I get the full price or the discounted price back. I placed the order last week. Thank you. — very Patel"
T-20390,chat,Refund not received,i cancelled order NW-56220 an hour after placing it but the charge of $189.50 still went through. I need this sorted before the weekend?
T-20391,webform,Urgent,"Good morning, The Cirrus trekking poles does not fit - how do I exchange it for the next size down. Thank you."
T-20392,email,Question,"Good morning, When will the Voltpack 20K power bank be back in stock in medium. This is for an upcoming canoe trip. Hope you can help. — Sam Chen"
T-20393,webform,Cannot log in,"Hello, I changed phones and can no longer get the two factor authentication code. I have been a customer for a long time and this is the first problem I have had. Thanks."
T-20394,chat,Help,you split my order into two shipments and only one has any trcaking movement. The order had the Trailhead trail runners and some smaller items in it
T-20395,email,Support request,"Good morning, How do I get a return shipping label for order NW-52440. I already looked through the help center and could not find an answer. Hope you can help. — Morgan Larsen"
T-20396,chat,Problem with my order,the email receipt went to my old address - I need to update where my invoices get sent. I paid with the card ending 7415
T-20397,webform,Stock question,"Good morning, Is the Torrent rain jacket actually waterproof or just water resistant. I tried calling but the wait time was over 45 minutes. Appreciate it."
T-20398,webform,Question,"Hi there, I acnnot log in to my account - it keeps saying my password is wrong even after I reset it. I alraedy looked thrugh the help center and could not find an answer. Thank you."
T-20399,chat,Help,i received someone else's package with my label on it - I assume they have my Puffin down vest. The package was a gift for a friend?
T-20400,chat,Delivery problem,You split my order into two shipments and only one has any tracking movement. The package was a gift for my partner??
