ticket_id,channel,subject,body,queue
T-10758,webform,Warranty claim,"Hello, I am past the 30 day window but the Ember fuel canister has a manufacturing defect - does the warranty cover it. I already looked through the help center and could not find an answer.",returns-warranty
T-10759,webform,Payment issue,"second time sending this. Hey, My gift card balance shows $249.95 but checkout would not let me use it. my order history disappeared after i merged my old account with my new email. I contacted you a few days ago about this and never heard back. Thanks.",billing
T-10760,email,Defective item,"Hello Northwind, My exchange shipped but tracking says it is going back to you instead of to me. — Morgan Whitfield",returns-warranty
T-10761,webform,Support request,"Hello, Does the Merino trail socks come with a warranty. Thanks in advance.",product-question
T-10762,chat,Help,I am past the 30 day window but the Riverbend sandals has a manufacturing defect - does the warranty cover it. ups tracking shows my package has been sitting in a sort facility for over two weeks.,returns-warranty
T-10763,webform,Question,"Hey, Only half of order NW-70651 showed up - the Trailhead hiking boots is missing from the box. This is for an upcoming canoe trip. Appreciate it.",shipping
T-10764,email,Cannot log in,"Hi, The verification link in the signup email says it has expired. I already looked through the help center and could not find an answer. — Casey Kaur",account-access
T-10765,chat,Spec question,is there a charge for the Trail Club membership that comes up at checkout. Order number is NW-52255 if that helps,product-question
T-10766,webform,Double charged,"Hey, Please cancel my Trail Club membership - I am still being billed 9$.99 a month. i cannot log in to my account - it keeps saying my password is wrong even after i reset it. Order number is NW-44162 if that helps. Please advise.",billing
T-10767,email,Membership billing,"Hi there, Please cancel my Trail Club membership - I am still being billed $12.99 a month. This is for an upcoming thru-hike. Hope you can help.",billing
T-10768,email,Urgent,"Hey, Can I change the delivery address on order NW-49754 before it sships. I have been a customr for years and this is the first problem I have had. — Morgan Silva",shipping
T-10769,chat,Damaged product,how do I get a return shipping label for order NW-78984,returns-warranty
T-10770,webform,Change my email,I cannot open the tracking link for my order without signing in and the sign in page just loops. i want to return the basecamp camp chair from order nw-68524 for a refund. what is your return policy on sale items like the riverbend sandals. I have been a customer for a long time and this is the first problem I have had. Appreciate it.,account-access
T-10771,email,Wrong item received,"HelloN orthwind, The return label you emailed me shows the wrong delivery address for the warehouse. I paid with the card ending 9040. Thanks .— Taylor Nguyen",returns-warranty
T-10772,webform,Defectiv eitem,"Hello, The pole on my Basecamp camp chair broke after two uses - I want to make a warranty claim. I tried calling but the wait time was over 30 minutes. Appreciate it.",returns-warranty
T-10773,email,Support request,"Good morning, My exchange shipped but tracking says it is going back to you instead of to me. I paid with the card ending 7522. Thank you. — Riley Silva",returns-warranty
T-10774,email,Help,"Hi, My acccount shows an order I laready cancelled ad the charge is still pending on my carrd. I contacted you a few days ago about this and never heard back. Thanks. — Taylor Larsen",billing
T-10775,webform,Help,"Hi, I was charged sales tax on order NW-46371 but my state does not tax clothing. I contacted you a few days ago about this and never heard back. Hope you can help.",billing
T-10776,email,Spec question,"Hello Northwind, How long does the Lumen 800 headlamp run on a full charge at the highest brightness. Thank you. — Jordan Garcia",product-question
T-10777,webform,Where is my orrder,"Good morning, Where is my order? The Riverbend sandals was supposed to arrive two days ago. i cannot log in to my account - it keeps saying my password is wrong even after i reset it. I have been a customer for years and this is the first problem I have had. Please advise.",shipping
T-10778,chat,Change my email,The password reset email never arrivse - I have checked spam several times. I have been a custmoer for three seasons and this s the first proble I have had?,account-access
T-10779,chat,Return label,The Slate sunglasses does not fit - how do I exchange it for the next size up. This is for an upcoming canoe trip.,returns-warranty
T-10780,chat,Damaged prroduct,the Anchor bear canister showed up scratched straight out of the box and I want a replacement??,returns-warranty
T-10781,chat,Need assistnace,my git cardb alance shows $19.50 but checkout would not let me use it. I have been a customer foa a long time and this is the first problem I have had??,billing
T-10782,webform,Need assistance,"Hi, Can I machine wash the Puffin down vest or is it dry clean only. Thanks in advance.",product-question
T-10783,webform,Urgent,"Hi there, You refunded the item but not the original shipping cost on order NW-42576. how do i change the email address on my account - i no longer have access to the old one. I contacted you last week about this and never heard back. Please advise.",billing
T-10784,email,Double charged,"Hi, I was charged sales tax on order NW-54397 but my state does not tax clothing. I placed the order during the sale. Please advise.",billing
T-10785,email,Question,"Hi there, Will the Smmit 65 backpak fit a bear canister .Hope you can help.",product-question
T-10786,email,Help,"Good morning, Please cacel the exchange on order NW5-4684 - I just want mym oney back on the return instead. This is for an upcoming camping trip. Hope you cna help.",returns-warranty
T-10787,webform,Cannot log in,"Hi there, I keep getting logged out every time the app updates. I already looked through the help center and could not find an answer. Appreciate it.",account-access
T-10788,webform,Late order,"Good morning, I paid $214.00 extraf or two day shipping and it has been two weeks. Please advise.",shipping
T-10789,chat,Promo code problem,can I get an itemized receipt or invoice for order NW-42424 - I need it for work. where is my order? the voltpack 20k power bank was supposed to arrive on monday,billing
T-10790,chat,Promo code problem,the tracking says my order was delivered but I was charged for shipping insurance I never added. I contacted you last week about this and never heard back?,billing
T-10791,webform,Support request,"Hello Northwind, I keep getting logged out every time the app updates. Order number is NW-66867 if that helps. Hope you can help.",account-access
T-10792,webform,Help,"Hello Northwind, The estimated delivery on my order keeps moving - it has changed twice this week. my gift card balance shows $312.99 but checkout would not let me use it. This is for an upcoming canoe trip. Thanks in advance.",shipping
T-10793,email,Warranty claim,How do I get a return shipping label for order NW-71246. I already looked through the help center and could no fidn an answer. Appreciate it.—  Jordan Okafor,returns-warranty
T-10794,email,2FA problem,"Hey, My order history disappeared after I merged my old account with my new email. The order had the Drifter 10 kayak and some smaller items in it. Thanks.",account-access
T-10795,email,Late order,"second time sending this. Hello Northwind, I need the Dayhike 22 backpack before Friday - can you expedite shipping. Hope you can help. — Alex Patel",shipping
T-10796,chat,Help,see attached screenshot for order NW-57460,account-access
T-10797,email,Delivery problem,"Hello, The tracking page says delivered but there is no package anywhere at my address. Thanks. — Dana Garcia",shipping
T-10798,webform,Question,"Godo morning, You slit my order into two shpments and only one has any tracking movement. Thank you.",shipping
T-10799,email,Support request,see below. ref NW-61681,product-question
T-10800,email,Retrun status,"Hey, The pole on my Drifter 10 kayak failed after a month - I want to make a warranty claim. I contacted you a few days ago about this and never heard back. Thank you. — Riley Whitfield",returns-warranty
T-10801,chat,Account security concern,the verification link in the signup email says it has expired.,account-access
T-10802,email,Question,"Good morning, Is the Ridgeline 2P tent a true 4-season tent or more of a summer shelter. I contacted you a few days ago about this and never heard back. Hope you can help.",product-question
T-10803,chat,Tracking question,FedEx tracking shows my package has been sitting in Louisville for two days. I already looked through the help center and could not find an answer??,shipping
T-10804,email,Package missing,"Hey, I need the Basecamp camp chair before Friday - can you expedite shipping. how do i change the email address on my account - i no longer have access to the old one. my account seems to be locked after too many login attempts. The package was a gift for my daughter. Thanks. — Kai Ortiz",shipping
T-10805,email,Need assistance,Do the Trailhead trail runners run wide - I am usually a 9. I have been a customer for years and this is the first problem I have had. Thanks in advance. — Skyler Okafor,product-question
T-10806,email,Question,"Hi, What is the temperature rating on the Cascade 0 sleeping bag really good down to. Thank you. — Jordan Chen",product-question
T-10807,email,Urgent,I sent my return back ten days ago and have not heard anything since. Thank you. — Morgan Kim,returns-warranty
T-10808,email,Question,"Hi, My return was received two weeks ago but the refund of $89.95 still is not back on my card. I contacted you last week about this and never heard back. Thanks. — Quinn Okafor",billing
T-10809,chat,Help,UPS tracking shows my package has been sitting in Newark for a week. I already looked through the help center and could not find an answer.,shipping
T-10810,email,Charge I do not recognize,"Good morning, Why was I charged $35.00 for shipping when the site says orders over $75 ship free. I placed the order on the 3rd. Please advise.",billing
T-10811,email,Warranty claim,"Hi, Waht is your return policy on sale items like the Lumen 40 0headlamp. I have been a customer for years and this is the first problem I have had. Thanks in advnce. — Kai Kxur",returns-warranty
T-10812,chat,Urgent,do the Trailhead trail runners run true to size - I am usually a 10.5. the promo code welcome10 did not apply at checkout and i was charged full price,product-question
T-10813,email,Problem with my order,"Hi, UPS tracking shows my package has been sitting in a sort facility for three days. you sent the wrong item - i ordered the torrent rain jacket and got a torrent rain pants instead. I have been a customer for three seasons and this is te first problem I have had. HHope you can help. — Dana Haddad",shipping
T-10814,chat,Urgent,Yo sent the wrong item - I ordere dthe Torrent rain jacket and zot a Slate sunglasses instead. I placed the order during the sale??,returns-warranty
T-10815,chat,Queston,My account seems to be locked after too many login attempts. This is for an upcoming backpacking trip??,account-access
T-10816,email,Urgent,"Hello, Can I machine wash the Puffin down vest or is it dry clean only. The package was a gift for my daughter. Thanks. — Skyler Patel",product-question
T-10817,webform,Problem with my order,"Good morning, My return was received five days ago but the refund of $35.99 still is not back on my card. I already looked through the help center and could not find an answer. Thanks in advance.",billing
T-10818,chat,Problem with my order,I sent my return back three days ago and have not heard anything since. I already looked through the help center and could not find an answer,returns-warranty
T-10819,email,Problem with my order,"Hi there, The Riverbend sandals does not fit - how do I exchange it for the wide version. why was i charged $214.50 for shipping when the site says orders over $75 ship free. i returned the merino trail socks and the refund i got was $312.95 short of what i paid. Thanks. — Jordan Kaur",returns-warranty
T-10820,email,Question,"Hello Northwind, You sent the wrong item - I ordered the Lumen 400 headlamp and got a Trailhead hiking boots instead. I paid with the card ending 1251. Thank you.",returns-warranty
T-10821,email,Support request,"Good morning, When will the Aurora camp lantern be back in stock in the green colour. I placed the order last week. Please advise.",product-question
T-10822,email,Problem with my order,"Hello Northwind, Is there a charge for the Trail Club membership that comes up at checkout. I have been a customer for a long time and this is the first problem I have had. Hope you can help.",product-question
T-10823,webform,Before I buy,Will the Summit 65 backpack fit a 3L water bladder. my order nw-48208 wass placed five days ago an the tracing still says label created. This is for an upcoming camping trip. Please advise.,product-question
T-10824,email,Late order,"Hi there, My package arrived with the box crsuhed and the Glacier 45 cooler inside looks okay. I already looked through the help center and could not find an answer. Hope you can help. — Dana Nguyen",shipping
T-10825,email,Refund not received,"Hi, Please cancel my Trail Club membership - I am still being billed $9.99 a month. I contacted you last week about this and never heard back. Thanks in advance.",billing
T-10826,email,Return request,"Hi, What is yur return ppolicy on sale items like toe Lumen 800 headlamp. Thanks.",returns-warranty
T-10827,webform,Product question,"Good morning, Is the Drifter 10 kayak stable enough for a beginner on flat water. Order number is NW-69875 if that helps. Thanks in advance.",product-question
T-10828,chat,Damaged product,is the Riverbend sandals still returnable if I opened the packaging.,returns-warranty
T-10829,chat,Problem with my order,i cannot open the tpacking link for my rder without signin in and the sig nin page just loops. I need this sorted before the weekend.,account-access
T-10830,chat,Delivery problem,The tracking page says delivered but there is no package anywhere at my address. I tried calling but the wait time was over 30 minutes??,shipping
T-10831,email,Need assistance,"Good morning, Can the Voltpack 20K power bank charge the Lumen 400 headlamp over USB. if i refuse the package at delivery do i still have to pay return shipping. I placed the order last week. Thank you. — Sam Chen",product-question
T-10832,chat,Need assistance,What is your return policy on sale items like the Ember fuel canister. I need this sorted before Friday?,returns-warranty
T-10833,webform,Package missing,"Hello, My package arrived with the box crushed and the Basecamp camp chair inside looks okay. can i get an itemized receipt or invoice for order nw-77687 - i need it for my expense report. I need this sorted before the end of the month.",shipping
T-10834,email,Double charged,"Hello, There is a charge from Northwind on my statement for $89.50 that I do not recognize. I need this sorted before the end of the month. Thanks. — Jordan Brooks",billing
T-10835,chat,Delivery problem,The invoice in the box lists a Drifter paddle that is not what I was charged for online - which one is actually shipping to me. The order had the Slate sunglasses and some smaller items in it?,shipping
T-10836,webform,Spec question,"Hey, Is the Torrent rain jacket actually waterpproof or just water resistant. Thanks in advance.",product-question
T-10837,email,Problem with my order,Why was I charged $214.50 for shipping when the site says orders over $75 ship free. i changed phones and can no longer get the two factor authentication code. Thanks in advance. — Devon Chen,billing
T-10838,webform,Cannot log in,"Hello, I changed phones and can no longer get the two factor authntication code. I have been a customer or a long time and this is the first problem I have hd. Apprceiate it.",account-access
T-10839,chat,Tracking question,i need the Cascade 0 sleeping bag before Friday - can you expedite shipping?,shipping
T-10840,webform,Late order,"Hi there, Where is my order? The Lumen 800 headlamp was supposed to arrive last Friday. Thanks.",shipping
T-10841,email,Need assistance,"Hi there, Customs is asking me to pay $35.95 in import fees for order NW-52886 - was that supposed to happen. do the trailhead trail runners run wide - i am usually a 10. The package was a gift for my daughter. Appreciate it. — Skyler Chen",shipping
T-10842,webform,Problem with my order,"Hello, The Riverbend sandals does not fit - how do I exchange it for the next size down. Thanks in advance.",returns-warranty
T-10843,chat,Help,the return label you emailed me shows the wrong delivery address for the warehouse. I already looked through the help center and could not find an answer,returns-warranty
T-10844,email,Stock question,Can the Voltpack 20K power bank charge the Lumen4 00 headlamp over USB. I paid with the card ending 7501. Thaanks. — Devon Broks,product-question
T-10845,chat,Defective item,The return label you emailed me shows the wrong delivery address for the warehouse. Order number is NW-53203 if that helps?,returns-warranty
T-10846,chat,Problem wit my order,if I refuse the package at delivery do I still have to pay return shipping. I contacted you a few days ago about this and never heard back,shipping
T-10847,webform,Warranty claim,"Good morning, You sent the wrong item - I ordered the Ridgeline 4P tent and got a Dayhike 22 backpack instead. The package was a gift for my daughter. Thanks in advance.",returns-warranty
T-10848,webform,Question,Is the Drifter 10 kayak stable enough for a beginner on flat water. I contacted you last week about this and never heard back.,product-question
T-10849,chat,Support request,the invoice in the box lists a Slate sunglasses that is not what I was charged for online - which one is actually shipping to me. Order number is NW-49360 if that helps?,shipping
T-10850,email,Login trouble,"Hey, I cannot open the tracking link for my order without signing in and the sign in page just loops. Thanks. — Skyler Silva",account-access
T-10851,email,Support request,The Slate sunglasses does not fit - how do I exchange it for the wide version. Order number is NW-52370 if that helps. Hope you can help. — Avery Okafor,returns-warranty
T-10852,chat,Question,The Torrent rain pants does not fit - how do I exchange it for the next size down.,returns-warranty
T-10853,email,Order not delivered,"Good morning, The inovice in the box lists a Voltpack 20K power bank that is not what I was charged for online - which one is actually shipping to me. Order number is NW-74272 if that helps. Thanks in advance. — Casey Garcia",shipping
T-10854,chat,Refund not received,The promo code BASECAMP10 did not apply at checkout and I was charged full price. I paid with the card ending 3748??,billing
T-10855,email,Support request,"Hi, What is your return policy on sale items like the Trailhead trail runners. The order had the Glacier 45 cooler and some smaller items in it. — Quinn Haddad",returns-warranty
T-10856,webform,Problem with my order,"Hello Northwind, The price of the Halo climbing helmet dropped to $79.95 the day after I bought it - do you do price adjustments. Thanks in advance.",billing
T-10857,email,Help,"Hi there, My package arrived with the box crushed and the Torrent rain jacket inside looks damaged. I placed the order about ten days ago. Hope you can help. — Dana Nguyen",shipping
T-10858,chat,Charge I do not recognize,the price of the Lumen 400 headlamp dropped to $58.00 the day after I bought it - do you do price adjustments. my exchange shipped but tracking says it is going back to you instead of to me.,billing
T-10859,email,Warranty claim,"Hi there, How do I get a return shipping label for order NW-72758. I contacted you  few days ago about this andn ever heard back. Appreciate it.",returns-warranty
T-10860,email,Where is my order,"Hey, The estimated delivery on my order keeps moving - it has changed twice this week. I contacted you last week about this and never heard back. Hope you can help.",shipping
T-10861,email,Return status,"Hi, How do I get a return shipping label for order NW-65711. is the torrent rain jacket actually waterproof or just water resistant. I paid with the card ending 7812. Thanks. — Riley Patel",returns-warranty
T-10862,chat,Warranty claim,Is the Summit 65 backpack still returnable if I opened the packaging. od the trailhead hiking boots run narrow - i am usually a 9?,returns-warranty
T-10863,chat,Question,my refund was approved but the replacement Cirru trekking poles still has no trackking numger. The package was a gift for my partner.,shipping
T-10864,email,Urgent,"Hello Northwind, My order NW-77404 was placed over two weeks ago and the tracking still says label created. my order history disappeared after i merged my old account with my new email. i changed phones and can no longer get the two factor authentication code. I have been a customer for a long time and this is the first problem I have had. Thanks in advance. — Devon Silva",shipping
T-10865,webform,Urgent,My gift card balance shows $249.50 but checkout would not let me use it. I have been a customer for a long time and this is the first problem I have had.,billing
T-10866,chat,Account security concern,The password reset email never arrives - I have checked spam several times. please cancel the exchange on order nw-59851 - i just want my money back on the return instead,account-access
T-10867,webform,Help,"Hello, I sent my return back four days ago and have not heard anything since. Order number is NW-51223 if that helps. Thanks in advance.",returns-warranty
T-10868,webform,Carn instructions,"Hey, Is there a charge for the Trail Club membership that comes up at checkout. I tried calling but the wait time was over 45 minutes. Hope you can help.",product-question
T-10869,chat,Urgent,The Drifter paddle does not fi - hw do I exchnage it for the wide ersion?,returns-warranty
T-10870,email,Support request,You sent the wrong item - I ordered the Dayhike 22 backpack and got a Halo climbing helmet instead. i think someone else has been using my account - there is an order in my history i never placed. Thanks.,returns-warranty
T-10871,chat,Spport request,The invoice in the box lists a Drifter paddle that is not what I was charged for online - which one is actually shipping to me?,shipping
T-10872,chat,Urgent,If I refuse the package at delivery do I still have to pay return shipping.,shipping
T-10873,webform,Payment issue,"Hey, My gift card balance shows $249.95 but checkout would not let me use it. my order history disappeared after i merged my old account with my new email. I contacted you a few days ago about this and never heard back. Thanks.",billing
T-10874,email,,NW-41498,shipping
T-10875,chat,Stock question,second time sending this. what fuel does the Ember camp stove take and can I fly with the canister. the verification link in the signup email says it has expired?,product-question
T-10876,chat,Return status,Please cancel the exchangeo n order NW-59652 - I just want m money back o the return insttead. I have been a customer for a long time and this is the first problem I have had,returns-warranty
T-10877,email,Change my email,"Hello Northwind, How do I change the email address on my account - I no longer have access to the old one. I need this sorted before the weekend. Please advise.",account-access
T-10878,chat,Urgent,my gift card balance shows $89.50 but checkout would not let me use it?,billing
T-10879,email,Defective item,"Hi, What is your return policy on sale items like the Dayhike 22 backpack. I contacted you a few days ago about this and never heard back. Appreciate it.",returns-warranty
T-10880,email,Return status,"Hey, The Summit 65 backpack does not fit - how do I exchange it for the next size up. I paid with the card ending 1551. Thank yu. — Casey Silva",returns-warranty
T-10881,chat,Question,my order NW-47797 was placed ten days ago and the tracking still says label created. Order number is NW-43374 if that helps?,shipping
T-10882,chat,Problem with my order,i cancelled order NW-58697 an hour after placing it but the charge of $42.50 still went through. I paid with the card ending 7082?,billing
T-10883,email,Question,"Hi three, Please cancel my Trail Club meberrship - I am still being billed $12.99 a month. The order had the Voltpack 20K powe rbank and some smaller items in it. — Alex Kaur",billing
T-10884,email,Damaged product,"Hey, I want to return the Anchor bear canister from order NW-73839 for a refund. I need this sorted before the end of teh month. Hope you can help. — Casey Brooks",returns-warranty
T-10885,email,Need assistance,Why was I charged $129.95 for shipping when the site says orders over $75 ship free. The order had the Merino trail socks and some smaller items in it. Please advise.,billing
T-10886,webform,Login truoble,"Hi, Please delete my account and all ym personal data. This is for an upcoming family trip.",account-access
T-10887,webform,Compatibility question,How long does shipping usually take to Canada if I order the Otter dry bag today. I paid with the card ending 4519. Hope you can help.,product-question
T-10888,email,Billin gquestion,"Hello, I returned the Glacier 45 cooler and the refund I got was $64.00 short of what I paid. what fuel does the ember camp stove take and can i fly with the canister. I paid with the card ending 8192. Thanks in advance. — Skyler Larsen",billing
T-10889,email,Billing question,"Hi, My gift card balance shows $189.99 but checkout would not let me use it. Appreciate it.",billing
T-10890,email,Support request,see below. ref NW-49645,billing
T-10891,email,Problem with my order,"Good morning, I paid $312.00 extra for two day shipping and it has been over two weeks. I contacted you a few days ago about this and never heard back. Appreciate it.",shipping
T-10892,email,Product question,"Good morning, What is the temperature rating on the Cascade 20 sleeping bag really good down to. Thank you.",product-question
T-10893,webform,Delivery problem,"Hello Northwind, You split my order into two shipments and only one has any tracking movement. The package was a gift for a friend. Thanks.",shipping
T-10894,email,Support request,"Hi, I returned the Traillhead hiking boots and the refund I got wsa $249.99 short of what I paid. I paid with the card ending 5682. Appreciate it. — Kai Siva",billing
T-10895,email,Tracking question,"Hello, The tracking page says delivered but there is no package anywhere at my address. I need this sorted before Friday. Hope you can help.",shipping
T-10896,email,Order not delivered,"Good morning, UPS tracking show my package has been sitting tn a sort facility for five days. Appreciate it. — Avery Okafor",shipping
T-10897,webform,Support request,see below. ref NW-42588,product-question
T-10898,webform,Tracking question,"Hi there, Where is my order? The Drifter paddle was supposed to arrive two days ago. Thanks.",shipping
T-10899,email,Support request,resending this - Where is my order? The Otter dry bag was supposed to arrive two days ago. I paid with the card ending 2922. Appreciate it. — Alex Chen,shipping
T-10900,email,Urgent,"Hey, How long does the Lumen 800 headlamp run on a full charge at the highest brightness. This is for an upcoming canoe trip. Appreciate it. — Alex Whitfield",product-question
T-10901,webform,Return label,"Hey, I sent my return back over two weeks ago and have not heard anything since. how long does the lumen 800 headlamp run on a full charge at the highest brightness. I tried calling but the wait time was over 20 minutes. Please advise.",returns-warranty
T-10902,chat,Problem with my order,where is my order? The Lumen 400 headlamp was supposed to arrive yesterday. when will the cirrus trekking poles be back in stock in large??,shipping
T-10903,email,Defective item,I am past the 30 day window but the Drifter 10 kayak has a manufacturing defect - does the warranty cover it. I already looked through the help center and could not find an answer. Hope you can help. — Dana Patel,returns-warranty
T-10904,webform,Promo code problem,"Hi, The promo code TRAIL15 did not apply at checkout and I was charged full price. The package was a gift for my partner. Hope you can help.",billing
T-10905,email,Help,"Hello, My return was received four days ago but the refund of $214.95 still is not back on my card. is the ember fuel canister still returnable if i washed it. i want to return the ridgeline 2p tent i bought with the summer20 promo code - do i get the full price or the discounted price back. Order number is NW-45516 if tha helps. — Morgan Nguyen",billing
T-10906,chat,Support erquest,my refund was approved but the replacement Summit 65 backpack still has no trakcing number. The package was a gift for my son,shipping
T-10907,email,Before I buy,"Hi, Do the Trailhead hiking boots run wide - I am usually a 11. I have been a customer for years and this is the first problem I have had. Please advise.",product-question
T-10908,email,Problem with my order,"Good morning, My refund was approved but the replacement Glacier 45 cooler still has no tracking number. i think someone else has been using my account - there is an order in my history i never placed. when i log in my order history shows someone else's orders and charges. Thanks in advance. — Quinn Larsen",shipping
T-10909,webform,Retrun label,"Hey, Please cancel the exchange on order NW-74135 - I just want my money back on the return instead. I have been a customer for a long time and this is the first problem I have had.",returns-warranty
T-10910,webform,Question,"Hi there, What fuel does the Ember camp stove take and an I fly with the canister. I placed the order last week. Hpe you can help.",product-question
T-10911,chat,2FA problem,My order history disappeared after I merged my olda ccount withm y new mail??,account-access
T-10912,email,Help,"Good morning, The tracking says my orde waas delivered but I was charged for sihpping insurance I never added. I tried calling but the wait time was over 30 minutes. Thanks .— Rowan Brooks",billing
T-10913,email,Where is myy order,My package arrived with the box torn open and the Trailhead trail runners inside looks damaged. Order number is NW-75020 if that helps.,shipping
T-10914,webform,Support request,"Hi there, My exchange shipped but tracking says it is going back to you instead of to me. This is for an upcoming canoe trip. Appreciate it.",returns-warranty
T-10915,webform,Question,"He,y I keep getting logged out evry time the app updates. This is fo an upcoming camping trip. hTank you.",account-access
T-10916,webform,Order not delivered,Only half of order NW-67632 showed up - the Aurrora camp lantern is minsing from the box. The order qad the Windbreak feece and some smaller items in it. Thank you.,shipping
T-10917,email,Prolem with my order,"Hi, My order NW-68875 was placed over two weeks ago and the tracking still says label created. does the ember fuel canister ever go on sale - it was cheaper during the last promo. how long does the lumen 800 headlamp run on a full charge at the highest brightness. Order number is NW-52016 if that helps. Appreciate it. — Dana Larsen",shipping
T-10918,email,Double charged,"Hey, You refunded the item but not the original shipping cost on order NW-50533. I paid with the card ending 6452. Thanks. — Avery Kim",billing
T-10919,email,Urgent,"Hello, How do I change the email address on my account - I no longer have access to the old one. I placed the order last week. Thanks. — Devon Nguyen",account-access
T-10920,webform,Urgent,"Hey, The Torrent rain jacket does not fit - how do I exchange it for the wide version. you split my order into two shipments and only one has any tracking movement. The order had the Ember camp stove and some smaller items in it. Please advise.",returns-warranty
T-10921,email,Support request,"Hi, You refunded the item but not the original shipping cost on order NW-24856. I have been a customer for a long time and this is the first problem I have had. Thank you. — Avery Garcia",billing
T-10922,email,,?????!!,billing
T-10923,webform,Login trouble,"Hello Northwind, Please delete my account and all my personal data. The package was a gift for a friend. Hope you can help.",account-access
T-10924,chat,2FA problem,I cannot log in to my account - it keeps saying my password is wrong even after I reset it. The package was a gift for my daughter,account-access
T-10925,chat,Stock question,If the Summit 65 backpack does not fit can I return it for free or is return shipping on me. I already looked through the help center and could not find an answer.,product-question
T-10926,webform,Order status,"Good morning, You split my order into two shipments and only one has any tracking movement. This is for an upcoming backpacking trip. Appreciate it.",shipping
T-10927,chat,Ned assistance,how do I change the email address on my account - I no longer have ajcess to the old one. I need this sorted before the weekend?,account-access
T-10928,chat,Needa ssistance,there is a charge from Northwind on my statement for $64.50 that I do not recognize. I already looked through the help center and cold not find ann answer??,billing
T-10929,webform,Urgent,please call me back 611-555-4676,billing
T-10930,email,Spec question,"Hello, How long does the Lumen 400 headlamp run on a full charge at the highest brightness. The package was a gift for my son. — Skyler Ortiz",product-question
T-10931,chat,Problem with my order,Is the Torrent rain pants actually waterproof or just water resistant. This is for an upcoming backpacking trip.,product-question
T-10932,email,Package missing,Only half of order NW-47249 showed up - the Ember camp stove is missing from the box. I placed the order on the 3rd. Please advise. — Riley Ortiz,shipping
T-10933,webform,Help,"Good morning, Can you hold the shipment at a UPS pickup point instead of delivering to my door. I contacted you a few days ag about this and never heard back. Please advise.",shipping
T-10934,email,Problem with my order,"Good morning, My refund was approved but the replacement Cirrus trekking poles still has no tracking number. The order had the Merino trail socks and some smaller items in it. Appreciate it.",shipping
T-10935,webform,Need assistance,You sent the wrong item - I ordered the Halo climbing helmet and got a Windbreak fleece instead. I tried calling but the wait time was over 45 minutes. Thanks in advance.,returns-warranty
T-10936,chat,Question,my account seems to be locked after too many login attempts. I have been a customer for years and this is the first problem I have had.,account-access
T-10937,email,Help,"Hey, Will the Dayhike 22 backpack fit a 3L water bladder. I contacted you a few days ago about this and never heard back. Appreciate it.",product-question
T-10938,webform,Problem with my order,Why was I charged $89.00 for shipping when the site says orders over $75 ship free. what fuel does the ember camp stove take and can i fly with the canister. can the voltpack 20k power bank charge the lumen 400 headlamp over usb. I have been a customer for a long time and this is the first problem I have had. Thank you.,billing
T-10939,email,Support request,"Hello Northwind, Only half of order NW-55457 showed up - the Riverbend sandals is missing from the box. The package was a gift for a friend. Appreciate it.",shipping
T-10940,chat,Where is my order,My package arrived with the box torn open and the Basecamp camp chair inside looks okay. This is for an upcoming canoe trip.,shipping
T-10941,webform,Support request,"Hi, Is the Aurora camp lantern still returnable if I opened the packaging. I have been a customer for a long time and this is the first problem I have had. Please advise.",returns-warranty
T-10942,chat,Need assistace,Please cancel my Trail Club membership - I am still being billed $9.99 a month. The order had the Otter dry bag and some smaller items in it?,billing
T-10943,webform,Password reset not working,When I log in my order history shows someone else's orders and charges. Please advise.,account-access
T-10944,email,Exchange needed,The pole on my Windbreak fleece snapped after a month - I want to make a warranty claim. The package was a gift for my son. Hope you can help.,returns-warranty
T-10945,chat,Spec question,if the Torrent rain pants oes not fit can I return it for free or is return shipping on me. I paid with the card ending 9813,product-question
T-10946,chat,,NW-56992,shipping
T-10947,chat,Urgent,I cancelled order NW-54420 the same day after placing it but the charge of $189.50 still went through. if i refuse the package at delivery do i still have to pay return shipping.,billing
T-10948,email,Help,"Hello, Where is my order? The Trailhead hiking boots was supposed to arrive two days ago. I paid with the card ending 9392. Appreciate it. — Quinn Okafor",shipping
T-10949,webform,Support request,"Hi there, Do the Trailhead hiking boots run wide - I am usually a 9. Thanks.",product-question
T-10950,webform,Urgent,The estimated delivery on my order keeps moving - it has changed twice this week. I need this sorted before the end of the month. Thanks.,shipping
T-10951,email,Problem with my order,"Hello Northwind, FedEx tracking shows my package has been sitting in Newark for a week. — Quinn Brooks",shipping
T-10952,webform,Tracking question,"Hello, Customs is asking me to pay $58.50 in import fees for order NW-65691 - was that supposed to happen. I have been a customer for years and this is the frist problem I have had. Please advise.",shipping
T-10953,webform,Urgent,"Good morning, Customs is asking me to pay $312.95 in import fees for order NW-53502 - was that supposed to happen. This is for an upcoming backpacking trip. Thank you.",shipping
T-10954,webform,Support reqquest,"Hi, Is the Ember camp stove still returnabel if I opened the packaging. I already looked through the help center and could not find an answer. Thank you.",returns-warranty
T-10955,chat,Warranty claim,I sent my return back two days ago and have not heard anything since. I contacted you a few days ago about this and never heard back??,returns-warranty
T-10956,chat,Tracking question,Where is my order? The Windbreak fleece was supposed to arrive two days ago. i received someone else's package with my label on it - i assume they have my ember camp stove??,shipping
